,DestinationCity,OriginCity,AirlineStatus,Age,Gender,PriceSensitivity,YearOfFirstFlight,FLightsPerYear,Loyalty,TypeOfTravel,TotalFreqFlyAccount,ShoppingAmount,FoodExpenses,Class,FlightDate,PartnerCode,ScheduleDepHour,DepartureDelayInMin,ArrivalDelayInMin,FlightCancelled,FlightDuration,Distance,LikelihoodRecommendScore,OriginLong,OriginLat,DestLong,DestLat,DestinationState,OriginState,AgeGroup
1,Houston,Minneapolis,Blue,66,Female,1,2009,15,-0.3043,Business travel,0,5,10,Eco Plus,3/29/2014,EV,11,0,0,No,142,1034,5,-93.2798,44.9782,-95.3935,29.7843,TX,MN,over 54
3,Chicago,Austin,Blue,80,Male,1,2010,36,-0.7143,Personal Travel,0,0,60,Eco,1/3/2014,AA,16,0,0,No,129,978,6,-97.7615,30.3585,-87.8954,41.8271,IL,TX,over 54
5,Denver,Cleveland,Gold,63,Female,1,2011,18,-0.5,Personal Travel,0,25,90,Eco,2/10/2014,EV,16,0,0,No,192,1201,6,-81.6054,41.4436,-104.9551,39.7108,CO,OH,over 54
9,Albuquerque,Atlanta,Blue,80,Female,2,2012,43,-0.9545,Mileage tickets,0,0,90,Eco,3/10/2014,DL,19,19,0,No,162,1269,8,-84.3319,33.8241,-106.6281,35.1434,NM,GA,over 54
11,Los Angeles,Yuma,Blue,79,Female,1,2005,23,-0.7692,Personal Travel,0,0,135,Eco,1/31/2014,OO,15,0,13,No,73,237,4,-114.5683,32.6772,-118.1043,33.9827,CA,AZ,over 54
19,Orlando,New York,Blue,61,Female,1,2003,24,-0.92,Personal Travel,0,15,120,Eco,2/13/2014,DL,19,NA,NA,Yes,0,950,3,-73.9702,40.7184,-81.4112,28.5844,FL,NY,over 54
20,New York,Minneapolis,Blue,55,Male,1,2011,64,-0.7297,Personal Travel,0,0,0,Eco,2/26/2014,DL,15,33,27,No,118,1020,3,-93.2798,44.9782,-73.9702,40.7184,NY,MN,over 54
23,Boston,Philadelphia,Blue,74,Female,1,2007,17,-0.5455,Personal Travel,0,0,30,Eco,3/25/2014,US,15,0,0,No,42,280,4,-75.2984,39.9733,-71.1407,42.3731,MA,PA,over 54
28,Las Vegas,New York,Blue,69,Female,1,2003,26,-0.6774,Personal Travel,0,0,30,Eco,1/31/2014,AA,6,0,38,No,361,2248,3,-73.9702,40.7184,-115.1672,36.1349,NV,NY,over 54
29,Memphis,Los Angeles,Blue,63,Male,1,2003,15,-0.5789,Personal Travel,0,30,60,Eco,2/6/2014,DL,11,42,14,No,169,1619,2,-118.1043,33.9827,-89.9179,35.0951,TN,CA,over 54
31,Los Angeles,Minneapolis,Blue,80,Female,2,2003,31,-0.5122,Personal Travel,0,0,100,Eco,2/26/2014,DL,21,11,0,No,203,1535,8,-93.2798,44.9782,-118.1043,33.9827,CA,MN,over 54
34,Hartford,Minneapolis,Blue,57,Male,1,2005,65,-0.831,Personal Travel,0,0,35,Eco,2/18/2014,DL,19,0,0,No,119,1050,3,-93.2798,44.9782,-72.6988,41.7401,CT,MN,over 54
45,San Francisco,Denver,Blue,54,Male,2,2012,12,-0.2632,Business travel,1,120,30,Eco,1/27/2014,WN,12,29,44,No,133,967,9,-104.9551,39.7108,-122.1585,37.6712,CA,CO,over 54
46,Denver,St. Louis,Silver,61,Female,1,2012,12,-0.1429,Personal Travel,0,120,120,Eco,2/3/2014,WN,6,0,7,No,125,770,8,-90.3409,38.6307,-104.9551,39.7108,CO,MO,over 54
