"","DestinationCity","OriginCity","AirlineStatus","Age","Gender","PriceSensitivity","YearOfFirstFlight","FLightsPerYear","Loyalty","TypeOfTravel","TotalFreqFlyAccount","ShoppingAmount","FoodExpenses","Class","FlightDate","PartnerCode","ScheduleDepHour","DepartureDelayInMin","ArrivalDelayInMin","FlightCancelled","FlightDuration","Distance","LikelihoodRecommendScore","OriginLong","OriginLat","DestLong","DestLat","DestinationState","OriginState"
"1","Houston","Minneapolis","Blue",66,"Female",1,2009,15,-0.3043,"Business travel",0,5,10,"Eco Plus","3/29/14","EV",11,0,0,"No",142,1034,5,-93.2798,44.9782,-95.3935,29.7843,"TX","MN"
"2","Providence","Chicago","Blue",47,"Male",0,2007,1,0.7778,"Business travel",2,0,60,"Eco","1/7/14","WN",20,33,21,"No",93,842,10,-87.8954,41.8271,-71.3974,41.7763,"RI","IL"
"3","Chicago","Austin","Blue",80,"Male",1,2010,36,-0.7143,"Personal Travel",0,0,60,"Eco","1/3/14","AA",16,0,0,"No",129,978,6,-97.7615,30.3585,-87.8954,41.8271,"IL","TX"
"4","Cincinnati","Miami","Silver",35,"Male",2,2005,21,-0.5,"Business travel",0,186,10,"Eco","2/7/14","MQ",21,46,28,"No",126,948,8,-80.2314,26.1756,-84.462,39.1855,"OH","FL"
"5","Denver","Cleveland","Gold",63,"Female",1,2011,18,-0.5,"Personal Travel",0,25,90,"Eco","2/10/14","EV",16,0,0,"No",192,1201,6,-81.6054,41.4436,-104.9551,39.7108,"CO","OH"
"6","Salt Lake City","Missoula","Gold",44,"Male",1,2008,10,-0.5385,"Business travel",0,0,30,"Eco","2/14/14","OO",7,0,0,"No",61,436,6,-114.0342,46.874,-111.9295,40.6408,"UT","MT"
"7","Charlotte","Cleveland","Silver",32,"Female",3,2003,13,0.2778,"Business travel",1,30,0,"Eco Plus","3/12/14","US",15,359,379,"No",71,430,8,-81.6054,41.4436,-80.8158,35.2497,"NC","OH"
"8","Little Rock","Atlanta","Silver",40,"Female",0,2007,0,1,"Business travel",1,70,80,"Eco","1/24/14","DL",12,0,0,"No",77,453,9,-84.3319,33.8241,-92.3212,34.7566,"AR","GA"
"9","Albuquerque","Atlanta","Blue",80,"Female",2,2012,43,-0.9545,"Mileage tickets",0,0,90,"Eco","3/10/14","DL",19,19,0,"No",162,1269,8,-84.3319,33.8241,-106.6281,35.1434,"NM","GA"
"10","Atlanta","Philadelphia","Gold",33,"Female",1,2003,9,0.4375,"Mileage tickets",2,103,140,"Eco","2/19/14","US",16,0,19,"No",104,666,8,-75.2984,39.9733,-84.3319,33.8241,"GA","PA"
"11","Los Angeles","Yuma","Blue",79,"Female",1,2005,23,-0.7692,"Personal Travel",0,0,135,"Eco","1/31/14","OO",15,0,13,"No",73,237,4,-114.5683,32.6772,-118.1043,33.9827,"CA","AZ"
"12","Boston","Milwaukee","Blue",30,"Female",1,2006,17,-0.4783,"Business travel",3,5,20,"Eco","1/30/14","WN",10,5,1,"No",101,860,6,-88.1005,43.0557,-71.1407,42.3731,"MA","WI"
"13","Denver","Houston","Silver",50,"Male",1,2003,8,0.6,"Business travel",4,0,90,"Eco","3/14/14","OU",5,0,0,"No",114,862,9,-95.3935,29.7843,-104.9551,39.7108,"CO","TX"
"14","Las Vegas","Atlanta","Blue",52,"Male",1,2005,31,-0.55,"Business travel",0,0,150,"Eco","2/14/14","FL",8,0,17,"No",268,1747,9,-84.3319,33.8241,-115.1672,36.1349,"NV","GA"
"15","Panama City","Atlanta","Silver",37,"Female",1,2003,0,1,"Business travel",3,0,125,"Eco","3/22/14","DL",10,0,0,"No",40,240,9,-84.3319,33.8241,-85.6773,30.1941,"FL","GA"
"16","Buffalo","Baltimore","Blue",39,"Male",1,2009,8,0.2,"Business travel",4,60,90,"Eco","3/22/14","WN",11,0,0,"No",51,281,9,-76.6478,39.2341,-78.8237,42.9249,"NY","MD"
"17","Detroit","San Francisco","Gold",40,"Female",1,2009,23,-0.122,"Personal Travel",2,0,75,"Eco","2/11/14","DL",7,0,0,"No",243,2079,4,-122.1585,37.6712,-83.2276,42.49,"MI","CA"
"18","Las Vegas","San Francisco","Blue",38,"Male",1,2008,17,-0.4783,"Mileage tickets",2,0,70,"Eco","1/15/14","OU",13,0,5,"No",71,414,9,-122.1585,37.6712,-115.1672,36.1349,"NV","CA"
"19","Orlando","New York","Blue",61,"Female",1,2003,24,-0.92,"Personal Travel",0,15,120,"Eco","2/13/14","DL",19,NA,NA,"Yes",0,950,3,-73.9702,40.7184,-81.4112,28.5844,"FL","NY"
"20","New York","Minneapolis","Blue",55,"Male",1,2011,64,-0.7297,"Personal Travel",0,0,0,"Eco","2/26/14","DL",15,33,27,"No",118,1020,3,-93.2798,44.9782,-73.9702,40.7184,"NY","MN"
"21","Madison","Chicago","Blue",23,"Male",2,2003,28,-0.8667,"Business travel",0,0,160,"Eco","2/19/14","EV",13,8,13,"No",48,108,5,-87.8954,41.8271,-89.4299,43.0874,"WI","IL"
"22","Houston","Corpus Christi","Blue",48,"Male",1,2003,8,-0.4545,"Mileage tickets",1,0,15,"Eco","1/14/14","WN",18,1,5,"No",34,187,6,-97.4126,27.7453,-95.3935,29.7843,"TX","TX"
"23","Boston","Philadelphia","Blue",74,"Female",1,2007,17,-0.5455,"Personal Travel",0,0,30,"Eco","3/25/14","US",15,0,0,"No",42,280,4,-75.2984,39.9733,-71.1407,42.3731,"MA","PA"
"24","Minneapolis","Los Angeles","Silver",36,"Male",1,2004,25,-0.1628,"Business travel",1,140,130,"Eco","3/20/14","DL",18,0,0,"No",175,1535,9,-118.1043,33.9827,-93.2798,44.9782,"MN","CA"
"25","Seattle","Salt Lake City","Silver",29,"Male",2,2003,11,-0.4667,"Business travel",0,75,60,"Eco","1/3/14","DL",11,11,18,"No",113,689,7,-111.9295,40.6408,-122.2747,47.4684,"WA","UT"
"26","San Francisco","Los Angeles","Silver",28,"Female",1,2010,12,0.5636,"Personal Travel",2,1,120,"Eco","2/16/14","WN",9,0,0,"No",56,337,9,-118.1043,33.9827,-122.1585,37.6712,"CA","CA"
"27","Miami","Los Angeles","Blue",15,"Male",2,2005,15,-0.3636,"Business travel",1,0,5,"Eco","2/27/14","AA",11,0,0,"No",233,2342,8,-118.1043,33.9827,-80.2314,26.1756,"FL","CA"
"28","Las Vegas","New York","Blue",69,"Female",1,2003,26,-0.6774,"Personal Travel",0,0,30,"Eco","1/31/14","AA",6,0,38,"No",361,2248,3,-73.9702,40.7184,-115.1672,36.1349,"NV","NY"
"29","Memphis","Los Angeles","Blue",63,"Male",1,2003,15,-0.5789,"Personal Travel",0,30,60,"Eco","2/6/14","DL",11,42,14,"No",169,1619,2,-118.1043,33.9827,-89.9179,35.0951,"TN","CA"
"30","Miami","Boston","Blue",29,"Female",1,2009,5,0.7436,"Personal Travel",3,0,70,"Eco","1/2/14","AA",11,111,158,"No",198,1258,4,-71.1407,42.3731,-80.2314,26.1756,"FL","MA"
"31","Los Angeles","Minneapolis","Blue",80,"Female",2,2003,31,-0.5122,"Personal Travel",0,0,100,"Eco","2/26/14","DL",21,11,0,"No",203,1535,8,-93.2798,44.9782,-118.1043,33.9827,"CA","MN"
"32","Phoenix","Denver","Blue",44,"Female",1,2003,10,-0.0526,"Business travel",1,0,65,"Eco","2/10/14","OU",11,5,4,"No",88,602,10,-104.9551,39.7108,-111.97,33.4941,"AZ","CO"
"33","Houston","Salt Lake City","Blue",49,"Male",1,2006,18,-0.8,"Business travel",1,55,70,"Eco","3/6/14","OO",9,18,13,"No",146,1195,10,-111.9295,40.6408,-95.3935,29.7843,"TX","UT"
"34","Hartford","Minneapolis","Blue",57,"Male",1,2005,65,-0.831,"Personal Travel",0,0,35,"Eco","2/18/14","DL",19,0,0,"No",119,1050,3,-93.2798,44.9782,-72.6988,41.7401,"CT","MN"
"35","Charlotte","New York","Blue",31,"Female",1,2003,32,-0.4545,"Personal Travel",1,50,0,"Eco","1/10/14","US",6,0,0,"No",103,541,6,-73.9702,40.7184,-80.8158,35.2497,"NC","NY"
"36","Lincoln","Denver","Blue",18,"Male",1,2005,60,-0.791,"Business travel",0,0,40,"Eco","2/24/14","EV",9,10,10,"No",56,423,5,-104.9551,39.7108,-96.6804,40.8071,"NE","CO"
"37","Dothan","Atlanta","Blue",34,"Female",2,2011,8,-0.7778,"Business travel",0,0,0,"Eco Plus","3/18/14","EV",19,0,0,"No",34,170,4,-84.3319,33.8241,-85.4251,31.2237,"AL","GA"
"38","New York","New Orleans","Blue",48,"Male",1,2003,73,-0.8718,"Business travel",1,0,0,"Eco","1/23/14","B6",10,11,5,"No",138,1182,8,-90.1437,29.9547,-73.9702,40.7184,"NY","LA"
"39","New York","Charlotte","Blue",40,"Male",3,2003,17,-0.5455,"Mileage tickets",0,90,15,"Eco","2/28/14","US",11,0,0,"No",76,541,9,-80.8158,35.2497,-73.9702,40.7184,"NY","NC"
"40","Des Moines","Las Vegas","Blue",50,"Male",1,2009,13,-0.4444,"Business travel",0,15,40,"Eco","1/19/14","WN",12,15,0,"No",145,1216,8,-115.1672,36.1349,-93.6561,41.6194,"IA","NV"
"41","Minneapolis","Cincinnati","Blue",30,"Female",1,2005,25,-0.1905,"Business travel",1,90,0,"Business","3/13/14","OO",17,0,8,"No",114,596,8,-84.462,39.1855,-93.2798,44.9782,"MN","OH"
"42","Phoenix","Los Angeles","Blue",52,"Female",2,2007,14,-0.2727,"Business travel",0,0,155,"Eco Plus","2/4/14","WN",16,0,0,"No",58,370,9,-118.1043,33.9827,-111.97,33.4941,"AZ","CA"
"43","Dallas","New Orleans","Blue",53,"Female",2,2008,13,-0.1304,"Mileage tickets",0,60,60,"Eco","2/14/14","WN",20,0,0,"No",69,436,8,-90.1437,29.9547,-96.972,32.8127,"TX","LA"
"44","Memphis","Houston","Silver",53,"Male",2,2007,27,-0.4595,"Personal Travel",0,30,40,"Eco","1/10/14","EV",14,0,0,"No",64,468,4,-95.3935,29.7843,-89.9179,35.0951,"TN","TX"
"45","San Francisco","Denver","Blue",54,"Male",2,2012,12,-0.2632,"Business travel",1,120,30,"Eco","1/27/14","WN",12,29,44,"No",133,967,9,-104.9551,39.7108,-122.1585,37.6712,"CA","CO"
"46","Denver","St. Louis","Silver",61,"Female",1,2012,12,-0.1429,"Personal Travel",0,120,120,"Eco","2/3/14","WN",6,0,7,"No",125,770,8,-90.3409,38.6307,-104.9551,39.7108,"CO","MO"
"47","Tampa","Detroit","Blue",44,"Male",1,2011,12,0.1724,"Business travel",1,0,0,"Eco","3/1/14","DL",20,2,48,"No",123,983,8,-83.2276,42.49,-82.5132,28.0062,"FL","MI"
"48","Dallas","New Orleans","Blue",54,"Female",2,2003,30,-0.5789,"Business travel",0,0,20,"Eco Plus","2/9/14","WN",9,0,0,"No",70,436,8,-90.1437,29.9547,-96.972,32.8127,"TX","LA"
"49","Salt Lake City","Anchorage","Blue",68,"Female",2,2003,36,-0.7143,"Personal Travel",0,0,20,"Eco Plus","3/10/14","DL",5,0,0,"No",247,2125,6,-149.8472,61.1679,-111.9295,40.6408,"UT","AK"
"50","Santa Barbara","Los Angeles","Blue",53,"Female",1,2006,9,-0.3846,"Business travel",0,0,45,"Eco","1/12/14","OO",12,0,0,"No",22,89,7,-118.1043,33.9827,-119.7241,34.4275,"CA","CA"
"51","Chattanooga","Atlanta","Silver",36,"Male",1,2004,17,-0.1333,"Business travel",1,20,130,"Eco","1/4/14","EV",11,89,84,"No",27,106,9,-84.3319,33.8241,-85.2104,35.0585,"TN","GA"
"52","Denver","Atlanta","Silver",35,"Female",1,2006,18,-0.2414,"Personal Travel",1,100,70,"Eco","2/20/14","DL",12,0,0,"No",168,1199,7,-84.3319,33.8241,-104.9551,39.7108,"CO","GA"
"53","Atlanta","San Francisco","Blue",76,"Male",1,2012,26,-0.8571,"Personal Travel",0,0,90,"Eco Plus","3/3/14","FL",23,17,3,"No",234,2139,8,-122.1585,37.6712,-84.3319,33.8241,"GA","CA"
"54","Houston","El Paso","Blue",36,"Female",1,2009,20,-0.2121,"Personal Travel",2,15,30,"Eco","1/26/14","EV",14,0,0,"No",85,667,2,-106.389,31.7802,-95.3935,29.7843,"TX","TX"
"55","Sioux Falls","Chicago","Blue",16,"Male",2,2012,7,0.1765,"Personal Travel",3,0,70,"Eco","2/22/14","OO",9,20,27,"No",82,462,5,-87.8954,41.8271,-96.7356,43.5335,"SD","IL"
"56","New York","Salt Lake City","Platinum",39,"Male",2,2012,4,0.7419,"Business travel",2,240,120,"Eco","1/2/14","DL",8,5,0,"No",233,1990,10,-111.9295,40.6408,-73.9702,40.7184,"NY","UT"
"57","Denver","Chicago","Silver",27,"Male",1,2007,12,-0.6,"Business travel",0,34,20,"Eco","3/4/14","OU",17,9,3,"No",128,888,9,-87.8954,41.8271,-104.9551,39.7108,"CO","IL"
"58","Houston","Pittsburgh","Blue",50,"Male",1,2003,10,-0.3333,"Business travel",4,0,20,"Eco","2/27/14","EV",11,0,0,"No",167,1117,7,-79.951,40.457,-95.3935,29.7843,"TX","PA"
"59","Baltimore","Oklahoma City","Blue",31,"Male",1,2007,8,0.0588,"Business travel",3,0,90,"Eco","1/31/14","WN",10,4,0,"No",133,1180,10,-97.5243,35.5048,-76.6478,39.2341,"MD","OK"
"60","Syracuse","Chicago","Blue",50,"Female",1,2005,14,-0.4,"Business travel",0,0,105,"Eco","2/18/14","EV",13,74,65,"No",76,607,4,-87.8954,41.8271,-76.164,43.0904,"NY","IL"
"61","Baltimore","Atlanta","Blue",68,"Female",1,2012,27,-0.7419,"Business travel",0,10,15,"Eco","1/31/14","DL",17,8,0,"No",72,577,9,-84.3319,33.8241,-76.6478,39.2341,"MD","GA"
"62","Miami","New York","Silver",51,"Male",1,2009,34,-0.6585,"Business travel",0,0,30,"Eco","3/22/14","AA",15,0,0,"No",156,1096,8,-73.9702,40.7184,-80.2314,26.1756,"FL","NY"
"63","Chicago","Memphis","Blue",55,"Female",2,2009,8,-0.4545,"Personal Travel",0,175,20,"Eco","3/27/14","MQ",19,36,30,"No",79,491,4,-89.9179,35.0951,-87.8954,41.8271,"IL","TN"
"64","Denver","Sacramento","Blue",61,"Female",2,2005,55,-0.6923,"Personal Travel",0,0,15,"Eco","2/1/14","OO",10,66,62,"No",124,909,8,-121.3247,38.6386,-104.9551,39.7108,"CO","CA"
"65","New York","Las Vegas","Blue",40,"Male",1,2003,22,-0.6923,"Business travel",3,5,45,"Eco","1/1/14","AA",10,11,0,"No",245,2248,9,-115.1672,36.1349,-73.9702,40.7184,"NY","NV"
"66","Las Vegas","New Orleans","Blue",56,"Male",1,2005,11,-0.6923,"Business travel",0,0,145,"Eco","2/21/14","WN",16,0,9,"No",232,1500,9,-90.1437,29.9547,-115.1672,36.1349,"NV","LA"
"67","Las Vegas","Fresno","Blue",56,"Female",1,2004,7,-0.0769,"Business travel",0,0,90,"Business","1/5/14","OO",19,6,4,"No",63,259,9,-119.7611,36.7878,-115.1672,36.1349,"NV","CA"
"68","Houston","Tulsa","Blue",67,"Female",1,2009,29,-0.5676,"Personal Travel",0,5,30,"Eco","3/14/14","EV",7,113,102,"No",70,429,3,-95.9013,36.1054,-95.3935,29.7843,"TX","OK"
"69","Indianapolis","Phoenix","Blue",28,"Female",1,2005,22,-0.4194,"Personal Travel",3,150,45,"Eco","3/28/14","US",23,0,0,"No",167,1488,4,-111.97,33.4941,-86.1455,39.8113,"IN","AZ"
"70","Los Angeles","Tucson","Blue",21,"Male",1,2003,2,-0.3333,"Business travel",0,0,25,"Eco","3/13/14","WN",6,0,0,"No",70,451,9,-110.9461,32.2549,-118.1043,33.9827,"CA","AZ"
"71","Denver","Chicago","Blue",50,"Female",2,2011,43,-0.3438,"Personal Travel",2,20,30,"Eco","2/2/14","OU",15,1,6,"No",131,888,4,-87.8954,41.8271,-104.9551,39.7108,"CO","IL"
"72","San Francisco","Orlando","Blue",50,"Male",1,2008,13,-0.1304,"Business travel",0,20,30,"Eco","2/17/14","OU",18,18,29,"No",350,2446,9,-81.4112,28.5844,-122.1585,37.6712,"CA","FL"
"73","Amarillo","Dallas","Blue",29,"Male",0,2009,0,1,"Business travel",0,0,10,"Eco","2/24/14","WN",13,4,2,"No",56,323,7,-96.972,32.8127,-101.8491,35.1975,"TX","TX"
"74","Orlando","Atlanta","Blue",69,"Male",1,2012,10,-0.25,"Business travel",0,0,35,"Eco Plus","2/3/14","DL",8,0,0,"No",58,404,9,-84.3319,33.8241,-81.4112,28.5844,"FL","GA"
"75","Phoenix","Las Vegas","Blue",39,"Male",2,2006,43,-0.1622,"Personal Travel",2,0,75,"Eco","1/9/14","WN",16,32,31,"No",49,255,2,-115.1672,36.1349,-111.97,33.4941,"AZ","NV"
"76","San Francisco","New York","Silver",45,"Female",2,2005,6,0.5862,"Business travel",1,0,180,"Eco Plus","1/23/14","VX",7,10,0,"No",349,2586,10,-73.9702,40.7184,-122.1585,37.6712,"CA","NY"
"77","Seattle","Chicago","Blue",66,"Female",1,2005,19,-0.3571,"Personal Travel",0,30,90,"Eco Plus","2/13/14","OU",9,1,1,"No",255,1721,8,-87.8954,41.8271,-122.2747,47.4684,"WA","IL"
"78","Los Angeles","Reno","Blue",59,"Female",1,2005,6,0,"Business travel",0,10,80,"Eco","2/9/14","OO",16,0,0,"No",68,391,8,-119.7959,39.5326,-118.1043,33.9827,"CA","NV"
"79","Charleston","Chicago","Silver",62,"Female",1,2007,43,-0.72,"Business travel",0,0,70,"Eco","3/14/14","WN",16,20,12,"No",90,745,10,-87.8954,41.8271,-80.0155,32.9023,"SC","IL"
"80","Washington","Chicago","Blue",47,"Female",1,2008,20,-0.3333,"Personal Travel",2,60,110,"Eco","3/16/14","OU",13,9,10,"No",88,589,4,-87.8954,41.8271,-77.1897,38.8974,"DC","IL"
"81","Indianapolis","Salt Lake City","Blue",56,"Male",1,2003,9,-0.125,"Business travel",1,0,35,"Eco","1/7/14","DL",17,20,39,"No",159,1355,8,-111.9295,40.6408,-86.1455,39.8113,"IN","UT"
"82","Richmond","Atlanta","Blue",65,"Female",2,2012,16,-0.28,"Personal Travel",0,0,107,"Business","2/18/14","DL",21,0,0,"No",64,481,3,-84.3319,33.8241,-77.488,37.4779,"VA","GA"
"83","Houston","Charlotte","Gold",52,"Female",2,2006,8,0.1111,"Business travel",0,0,15,"Eco","2/24/14","EV",11,0,4,"No",163,912,7,-80.8158,35.2497,-95.3935,29.7843,"TX","NC"
"84","Corpus Christi","Houston","Blue",41,"Female",1,2012,26,-0.5294,"Personal Travel",2,0,40,"Eco","3/8/14","EV",11,23,20,"No",42,201,1,-95.3935,29.7843,-97.4126,27.7453,"TX","TX"
"85","Tampa","Providence","Silver",60,"Male",1,2011,2,0.5,"Business travel",1,0,105,"Business","3/14/14","WN",6,0,0,"No",166,1136,9,-71.3974,41.7763,-82.5132,28.0062,"FL","RI"
"86","Chicago","Harrisburg","Blue",23,"Male",1,2005,23,-0.5333,"Business travel",0,60,70,"Eco","1/17/14","MQ",7,0,0,"No",93,594,9,-76.8662,40.2456,-87.8954,41.8271,"IL","PA"
"87","St. Louis","Tampa","Blue",48,"Female",1,2009,4,0.619,"Business travel",1,0,5,"Eco","2/26/14","WN",10,1,0,"No",136,869,6,-82.5132,28.0062,-90.3409,38.6307,"MO","FL"
"88","Phoenix","St. Louis","Blue",67,"Female",1,2006,33,-0.6098,"Personal Travel",0,45,10,"Eco","1/23/14","WN",17,8,3,"No",189,1262,7,-90.3409,38.6307,-111.97,33.4941,"AZ","MO"
"89","Baltimore","Albany","Silver",30,"Male",1,2006,15,0.0909,"Business travel",1,90,240,"Eco","1/12/14","WN",15,17,6,"No",57,289,9,-73.7994,42.7439,-76.6478,39.2341,"MD","NY"
"90","Denver","San Francisco","Silver",31,"Female",2,2011,17,0.1282,"Mileage tickets",1,0,7,"Eco Plus","3/21/14","OU",9,0,1,"No",119,967,8,-122.1585,37.6712,-104.9551,39.7108,"CO","CA"
"91","Phoenix","Washington","Gold",42,"Male",1,2008,17,-0.2593,"Business travel",2,30,50,"Eco","1/26/14","US",17,72,47,"No",271,1979,10,-77.1897,38.8974,-111.97,33.4941,"AZ","DC"
"92","Boston","Orlando","Blue",22,"Female",1,2006,17,0.1905,"Mileage tickets",2,445,0,"Eco","3/28/14","B6",11,0,0,"No",155,1121,8,-81.4112,28.5844,-71.1407,42.3731,"MA","FL"
"93","Orlando","Atlanta","Gold",37,"Male",2,2006,17,-0.36,"Business travel",2,120,20,"Eco","1/19/14","DL",8,0,0,"No",56,404,8,-84.3319,33.8241,-81.4112,28.5844,"FL","GA"
"94","Pittsburgh","Minneapolis","Blue",28,"Female",2,2009,15,-0.3636,"Business travel",2,20,20,"Eco","3/6/14","DL",19,0,0,"No",90,726,7,-93.2798,44.9782,-79.951,40.457,"PA","MN"
"95","Salt Lake City","Atlanta","Blue",41,"Male",2,2007,27,-0.8,"Personal Travel",0,0,10,"Eco","3/4/14","DL",8,2,0,"No",227,1590,9,-84.3319,33.8241,-111.9295,40.6408,"UT","GA"
"96","Salt Lake City","Phoenix","Silver",50,"Female",1,2005,10,0,"Business travel",1,0,70,"Business","3/19/14","WN",11,1,0,"No",77,507,9,-111.97,33.4941,-111.9295,40.6408,"UT","AZ"
"97","Reno","Los Angeles","Silver",31,"Male",1,2005,22,-0.0233,"Business travel",1,90,100,"Eco","2/26/14","OO",14,0,0,"No",59,391,10,-118.1043,33.9827,-119.7959,39.5326,"NV","CA"
"98","Los Angeles","Portland","Blue",78,"Female",1,2012,29,-0.7059,"Personal Travel",0,90,135,"Eco Plus","1/6/14","AS",6,0,0,"No",114,834,5,-122.6511,45.5204,-118.1043,33.9827,"CA","OR"
"99","Sacramento","Phoenix","Blue",59,"Male",1,2004,28,-0.6,"Business travel",0,0,70,"Business","3/7/14","WN",18,1,0,"No",107,647,9,-111.97,33.4941,-121.3247,38.6386,"CA","AZ"
"100","Providence","Washington","Blue",38,"Female",1,2003,17,0,"Personal Travel",3,60,95,"Eco","3/9/14","EV",18,13,11,"No",60,372,3,-77.1897,38.8974,-71.3974,41.7763,"RI","DC"
"101","St. Louis","Chicago","Blue",28,"Female",1,2003,25,0.0196,"Personal Travel",2,0,70,"Eco","1/10/14","WN",7,NA,NA,"Yes",0,251,4,-87.8954,41.8271,-90.3409,38.6307,"MO","IL"
"102","Buffalo","Charlotte","Silver",56,"Female",1,2007,4,-0.3333,"Business travel",0,0,40,"Eco","2/23/14","US",16,55,42,"No",76,546,9,-80.8158,35.2497,-78.8237,42.9249,"NY","NC"
"103","Houston","Denver","Silver",80,"Male",2,2011,46,-0.8039,"Personal Travel",0,0,90,"Eco","1/28/14","WN",14,12,0,"No",106,883,9,-104.9551,39.7108,-95.3935,29.7843,"TX","CO"
"104","Austin","Baltimore","Blue",46,"Male",1,2003,68,-0.8889,"Business travel",0,10,50,"Eco","2/13/14","WN",9,NA,NA,"Yes",0,1342,7,-76.6478,39.2341,-97.7615,30.3585,"TX","MD"
"105","Salt Lake City","Sacramento","Blue",25,"Female",1,2003,14,0.3636,"Personal Travel",1,0,60,"Eco","3/12/14","DL",6,0,7,"No",83,532,4,-121.3247,38.6386,-111.9295,40.6408,"UT","CA"
"106","Houston","Orlando","Blue",33,"Female",2,2010,22,-0.8333,"Business travel",1,0,40,"Eco","3/2/14","OU",15,NA,NA,"Yes",0,854,8,-81.4112,28.5844,-95.3935,29.7843,"TX","FL"
"107","Miami","Washington","Blue",56,"Female",1,2008,12,-0.0909,"Business travel",0,60,40,"Eco","3/6/14","AA",6,0,8,"No",146,919,7,-77.1897,38.8974,-80.2314,26.1756,"FL","DC"
"108","Denver","Houston","Silver",52,"Female",1,2011,16,-0.3333,"Personal Travel",1,20,40,"Eco","3/25/14","OU",21,1,0,"No",117,862,5,-95.3935,29.7843,-104.9551,39.7108,"CO","TX"
"109","Tucson","Chicago","Platinum",33,"Male",1,2012,21,-0.68,"Business travel",0,0,60,"Eco Plus","1/2/14","WN",8,57,105,"No",189,1440,10,-87.8954,41.8271,-110.9461,32.2549,"AZ","IL"
"110","Boston","Orlando","Blue",61,"Female",2,2010,22,-0.5714,"Mileage tickets",0,0,20,"Eco","2/7/14","DL",11,6,0,"No",134,1121,7,-81.4112,28.5844,-71.1407,42.3731,"MA","FL"
"111","Chicago","Cleveland","Blue",34,"Male",1,2011,2,0.8621,"Business travel",1,0,330,"Eco Plus","3/5/14","OO",20,0,0,"No",61,315,8,-81.6054,41.4436,-87.8954,41.8271,"IL","OH"
"112","Hartford","Washington","Blue",51,"Female",1,2004,1,0.75,"Business travel",1,0,30,"Eco Plus","1/23/14","EV",17,15,13,"No",51,326,1,-77.1897,38.8974,-72.6988,41.7401,"CT","DC"
"113","Las Vegas","Los Angeles","Blue",52,"Male",2,2012,32,-0.5238,"Business travel",2,120,30,"Business","3/25/14","AA",11,3,0,"No",44,236,8,-118.1043,33.9827,-115.1672,36.1349,"NV","CA"
"114","Denver","Tulsa","Gold",40,"Male",1,2009,18,-0.6364,"Business travel",0,0,30,"Eco","3/20/14","EV",17,0,8,"No",88,541,9,-95.9013,36.1054,-104.9551,39.7108,"CO","OK"
"115","Washington","Charlotte","Blue",26,"Female",2,2007,8,0.3846,"Business travel",1,0,20,"Eco","3/28/14","US",7,0,0,"No",55,331,8,-80.8158,35.2497,-77.1897,38.8974,"DC","NC"
"116","Albuquerque","Los Angeles","Blue",32,"Female",1,2003,12,0.1429,"Personal Travel",1,0,150,"Eco","3/14/14","OO",9,0,5,"No",92,677,9,-118.1043,33.9827,-106.6281,35.1434,"NM","CA"
